"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"211980_at",3.91548099999999,10.0336617575758,10.7049818196467,2.10620428902271e-07,0.000100311652876839,7.60847703905598
"218477_at",-1.70658066666666,9.82651951515152,-10.6906562979543,2.13664229623814e-07,0.000100591645760481,7.59484704077016
"224043_s_at",-1.87318877777778,8.45794066666667,-10.6611740910907,2.20078598490051e-07,0.000101747593589475,7.56673706674482
"207609_s_at",-3.32641355555555,9.62198172727272,-10.6455045621672,2.23571948120139e-07,0.000101747593589475,7.55176437526809
"201590_x_at",2.97083155555558,12.3129090909091,10.613491668715,2.30895966110406e-07,0.000102818410737655,7.52110479650602
"204294_at",-1.40982503333333,9.33627627272727,-10.6052592333842,2.32820907012123e-07,0.000102818410737655,7.51320507983112
"205043_at",2.46782902222222,8.08110224242424,10.6025604482586,2.33455704450839e-07,0.000102818410737655,7.51061400293525
"227417_at",-2.5066148,9.54871063636364,-10.5851429952052,2.37597679109014e-07,0.000103524869771918,7.49387545099922
"205173_x_at",1.46354996666667,7.55854215151515,10.5703461618803,2.41178664800645e-07,0.000103524869771918,7.47963326275811
"214456_x_at",1.80549044444443,12.168283030303,10.5643661871014,2.42642337413124e-07,0.000103524869771918,7.47387166971564
"235945_at",-1.50837082222222,7.10312245454545,-10.5441536501145,2.4766085835035e-07,0.000103854322826417,7.45437263486515
"211922_s_at",-2.29973911111112,11.6319251515152,-10.5405485484941,2.48567651292487e-07,0.000103854322826417,7.45089079261885
"224629_at",-1.03898022222222,12.0341684848485,-10.5308645851115,2.51021215357192e-07,0.000103854322826417,7.44153192217571
"201471_s_at",1.67459311111112,10.7243429090909,10.5057632584111,2.57503245447522e-07,0.000105470754302851,7.41723244919808
"214142_at",-2.29613122222223,8.51499454545455,-10.4944640785141,2.60479722807462e-07,0.000105544097344903,7.40627496077637
"231683_at",-2.04028193333333,8.14642978787879,-10.4856176154961,2.62835956180085e-07,0.000105544097344903,7.39768765820243
"205364_at",-2.3602148888889,10.3109372727273,-10.4452377071619,2.73886418474741e-07,0.000108531687839494,7.35839721701927
"237390_at",-3.76341804444443,8.48747854545454,-10.4392205998036,2.7557546657163e-07,0.000108531687839494,7.35252929497818
"208650_s_at",3.88976101111111,8.25647857575758,10.4280286250569,2.7874705223512e-07,0.000108735242976174,7.34160570878383
"213540_at",-1.67042886666667,8.65176015151515,-10.3967510160774,2.87820791743651e-07,0.000111215583104039,7.31101526370843
"203682_s_at",-1.29828844444445,9.188352,-10.3615351463906,2.98419254457367e-07,0.000114171218501601,7.27646186459592
"211423_s_at",-2.04593306666664,11.7590337575758,-10.3520480488431,3.0134578883975e-07,0.000114171218501601,7.26713302908633
"222784_at",-1.46432178888889,8.64978457575758,-10.3424586618405,3.04335307679462e-07,0.000114171218501601,7.25769487498957
"201839_s_at",3.81083651111112,8.17057496969697,10.3240611369484,3.10160577114563e-07,0.000114171218501601,7.23956286921125
"210427_x_at",2.974978,12.2145267272727,10.3159253904555,3.1277481135544e-07,0.000114171218501601,7.23153420063073
"208651_x_at",2.75438466666666,9.89769969696969,10.3038834074488,3.16687867636898e-07,0.000114171218501601,7.21963904998756
"242680_at",-3.8924822,8.97703190909091,-10.2930068512374,3.20267545813782e-07,0.000114171218501601,7.20888314108656
